-29274	-14972	-58381	-12008	-69861	-56762	2214	-72013	10695	-1971	-35332	-60387	-46296	-54052	-46249	-39370	-62796	162	-31353	4247	-33775	-29692	-73904	-53631	-67463	-49570	-55816	-11849	-45201	-36685	-50630	-8459	-26325	-54291	-39191	-38730	-35635	-73262	-44808	-33238	-62821	-27073	-45588	-6532	-53063	-26762	16041	15	-32375	-34045	487	-53170	-50071	-69064	-49628	-45457	-16842	-63931	-86609	-66717	-29138	-33052	-51406	-23424	-32530	-48572	-4843	-34423	-4556	-42279	-60254	-43067	-44462	-10325	6758	15733	-43187	-44811	-4765	-58185	-81774	-14193	-6587	-32090	-2445	-27643	604	-32048	-49468	-48606	-42750	-16566	-79216	-319	-38550	-31299	-32800	-78662	1844	-3332	-31659	-55936	-33153	-82840	1041	-30327	-58083	-11464	-19041	-27934	-58343	-17953	7299	-5318	-13880	-47374	15805	-71422	-5214	-81868
-14972	-7832	-30005	-6170	-35834	-29111	1108	-36856	5597	-1067	-18094	-31083	-23752	-27690	-23836	-20215	-32198	-33	-16050	2213	-17341	-15082	-37963	-27580	-34641	-25441	-28606	-6127	-23085	-18919	-25814	-4211	-13413	-27886	-20275	-19826	-18208	-37698	-23027	-17078	-32206	-13912	-23506	-3266	-27212	-13850	8350	89	-16601	-17558	239	-27271	-25788	-35413	-25398	-23367	-8553	-32788	-44622	-34314	-14928	-16939	-26446	-12096	-16734	-24862	-2417	-17668	-2255	-21756	-30854	-21996	-22904	-5323	3523	8200	-22293	-23091	-2401	-29881	-42071	-7304	-3427	-16291	-1210	-14095	343	-16511	-25368	-24938	-21875	-8297	-40693	-163	-19948	-16190	-16795	-40462	918	-1737	-16203	-28603	-17067	-42609	537	-15623	-29729	-5962	-9794	-14219	-29982	-9329	3992	-2654	-7168	-24387	8220	-36753	-2515	-42007
-58381	-30005	-116670	-23940	-139503	-113311	4470	-143716	21416	-3923	-70320	-120689	-92445	-107861	-92539	-78645	-125265	296	-62495	8515	-67445	-59129	-147660	-107078	-134748	-99055	-111350	-23691	-90175	-73299	-100910	-16725	-52460	-108498	-78367	-77361	-71061	-146422	-89526	-66371	-125382	-54086	-91154	-12922	-105943	-53508	32162	131	-64537	-68007	920	-106112	-100170	-137858	-99056	-90705	-33559	-127533	-173159	-133359	-58066	-65942	-102728	-46838	-65010	-96935	-9598	-68734	-8938	-84515	-120243	-85871	-88941	-20573	13588	31575	-86393	-89519	-9530	-116169	-163326	-28430	-13211	-63837	-4724	-55185	1200	-64102	-98766	-97186	-85311	-32944	-158227	-665	-77137	-62541	-65517	-157118	3623	-6678	-63213	-111494	-66390	-165476	2060	-60572	-115885	-22840	-38071	-55723	-116480	-35916	14886	-10554	-27748	-94603	31694	-142740	-10220	-163444
-12008	-6170	-23940	-4968	-28680	-23336	872	-29605	4407	-847	-14645	-24773	-19013	-22221	-18922	-16152	-25863	33	-12912	1750	-13878	-12202	-30327	-22063	-27691	-20322	-22952	-4880	-18575	-15088	-20844	-3508	-10818	-22269	-16125	-15875	-14662	-30052	-18402	-13681	-25799	-11115	-18725	-2713	-21782	-11002	6578	-3	-13346	-14018	230	-21865	-20503	-28381	-20377	-18699	-6912	-26336	-35539	-27340	-12016	-13591	-21106	-9620	-13345	-19940	-1995	-14154	-1915	-17356	-24743	-17694	-18226	-4274	2739	6440	-17700	-18418	-1926	-23921	-33621	-5759	-2693	-13243	-1093	-11323	275	-13143	-20295	-19877	-17572	-6766	-32534	-100	-15814	-12908	-13411	-32334	790	-1371	-12994	-23057	-13527	-34053	456	-12465	-23874	-4779	-7815	-11464	-23999	-7400	2941	-2178	-5690	-19486	6465	-29312	-2176	-33639
-69861	-35834	-139503	-28680	-166946	-135631	5324	-172108	25568	-4705	-84398	-144321	-110644	-129138	-110547	-94061	-150033	397	-74866	10182	-80718	-70880	-176625	-128152	-161192	-118487	-133292	-28350	-108026	-87701	-120975	-20161	-62855	-129791	-93710	-92571	-85113	-175086	-107102	-79484	-150045	-64691	-109001	-15592	-126774	-63949	38405	80	-77285	-81380	1163	-127029	-119704	-165024	-118554	-108550	-40208	-152764	-207023	-159427	-69565	-78934	-122903	-55980	-77756	-116027	-11557	-82280	-10812	-101090	-143920	-102841	-106338	-24668	16143	37663	-103235	-107071	-11401	-139041	-195426	-33882	-15750	-76615	-5832	-66055	1451	-76641	-118136	-116194	-102167	-39512	-189301	-754	-92158	-74844	-78311	-187990	4399	-7976	-75674	-133619	-79273	-197997	2499	-72447	-138776	-27360	-45523	-66762	-139427	-42935	17547	-12664	-33151	-113187	37807	-170714	-12399	-195614
-56762	-29111	-113311	-23336	-135631	-110288	4313	-139949	20778	-3822	-68696	-117208	-89903	-105013	-89756	-76398	-121979	343	-60869	8260	-65588	-57604	-143539	-104135	-130994	-96273	-108310	-23046	-87805	-71228	-98412	-16405	-51056	-105481	-76168	-75220	-69226	-142210	-87056	-64603	-121914	-52592	-88592	-12667	-102980	-52004	31185	81	-62869	-66117	967	-103224	-97220	-134117	-96354	-88202	-32672	-124204	-168215	-129465	-56581	-64150	-99849	-45514	-63130	-94276	-9348	-66920	-8837	-82162	-116949	-83554	-86391	-20054	13092	30580	-83836	-87024	-9226	-113002	-158866	-27406	-12789	-62342	-4826	-53676	1236	-62260	-95989	-94298	-83041	-32083	-153837	-580	-74835	-60865	-63557	-152771	3627	-6455	-61499	-108735	-64355	-160946	2109	-58850	-112774	-22291	-37048	-54308	-113342	-34902	14215	-10269	-26900	-91980	30700	-138684	-10128	-158967
2214	1108	4470	872	5324	4313	-250	5507	-779	77	2515	4602	3532	4109	3598	2994	4689	-103	2322	-323	2557	2246	5676	4016	5156	3841	4171	883	3463	2739	3852	608	1981	4207	2936	3017	2699	5582	3428	2513	4756	2068	3477	457	4034	2008	-1234	-25	2384	2522	-4	3995	3896	5239	3795	3364	1303	4773	6627	5115	2135	2483	3912	1785	2474	3703	346	2638	281	3256	4572	3254	3451	724	-542	-1231	3311	3363	409	4395	6184	1119	512	2387	87	2169	-24	2482	3762	3800	3261	1316	6026	43	2925	2316	2532	5936	-118	249	2443	4194	2648	6271	-77	2265	4405	758	1493	2191	4398	1319	-621	400	1038	3537	-1227	5448	365	6203
-72013	-36856	-143716	-29605	-172108	-139949	5507	-177736	26318	-4788	-87211	-148639	-114139	-133303	-113792	-96867	-154798	554	-77234	10450	-83226	-73185	-182124	-132111	-166194	-122195	-137385	-29187	-111528	-90316	-125064	-20911	-64821	-133892	-96535	-95525	-87924	-180276	-110469	-82014	-154699	-66689	-112310	-16173	-130685	-65866	39531	47	-79743	-83816	1237	-131011	-123319	-170228	-122275	-111848	-41544	-157641	-213329	-164148	-71774	-81415	-126626	-57717	-80060	-119689	-11913	-84974	-11224	-104259	-148399	-106063	-109595	-25434	16555	38732	-106247	-110308	-11750	-143427	-201558	-34663	-16203	-79254	-6166	-68246	1547	-78991	-121737	-119670	-105455	-40841	-195168	-690	-94816	-77182	-80599	-193758	4671	-8192	-78145	-138065	-81635	-204159	2699	-74626	-143145	-28182	-47041	-69064	-143820	-44202	17864	-13085	-34060	-116636	38866	-175895	-12953	-201711
10695	5597	21416	4407	25568	20778	-779	26318	-4040	750	12889	22191	16985	19776	17039	14400	22966	23	11441	-1550	12382	10749	27120	19704	24751	18179	20392	4335	16445	13484	18419	2978	9545	19938	14482	14166	13024	26863	16463	12180	23000	9928	16755	2333	19431	9903	-5992	-70	11858	12505	-142	19480	18439	25281	18109	16693	6110	23376	31902	24477	10650	12109	18837	8679	11926	17775	1698	12632	1581	15549	22012	15671	16353	3804	-2548	-5866	15905	16487	1703	21369	30084	5172	2469	11616	830	10108	-245	11797	18103	17797	15598	5906	29062	101	14255	11578	11985	28873	-683	1247	11603	20406	12219	30419	-401	11173	21175	4250	7045	10169	21414	6663	-2893	1901	5109	17418	-5882	26234	1760	29983
-1971	-1067	-3923	-847	-4705	-3822	77	-4788	750	-238	-2570	-4079	-3079	-3620	-3036	-2681	-4330	-117	-2181	322	-2281	-1985	-4916	-3673	-4498	-3251	-3854	-868	-3018	-2571	-3367	-596	-1802	-3556	-2721	-2509	-2363	-5001	-2980	-2270	-4235	-1820	-3111	-449	-3573	-1846	1066	-9	-2250	-2412	98	-3615	-3279	-4662	-3319	-3160	-1087	-4423	-5792	-4489	-2047	-2234	-3517	-1551	-2223	-3215	-359	-2284	-383	-2804	-4063	-2927	-2943	-759	409	1046	-2926	-3088	-273	-3917	-5521	-963	-423	-2182	-286	-1726	75	-2120	-3335	-3171	-2871	-1016	-5334	-20	-2633	-2188	-2166	-5381	114	-228	-2047	-3812	-2082	-5634	50	-2082	-3949	-915	-1184	-1764	-3969	-1287	450	-339	-974	-3272	1054	-4825	-373	-5540
