-18604	-10948	-214	-16515	8609	-4944	-192	-5607	-21323	-2986	-16105	-6710	2224	-12317	-9690	-7124	-6638	-1804	-11879	-9089	3964	642	-1345	-11023	3008	-5216	-7777	5631	3790	-14971	1646	-11289	-11579	-16444	-18894	-8755	-20302	-27530	781	-16007	-1474	-17546	5017	-22804	1690	-537	-1884	2125	-17608	-13244	-607	-8987	2500	7058	-11991	-3481	3516	-3946	-7332	-14342	-22229	-19427	4464	-9608	434	-16901	-16518	-9917	-280	-11206	-140	-8205	-12468	-7881	-21921	1118	-8509	-15171	4086	6619	-20057	5584	-10248	-14343	-19164	-12513	9173	-15850	-12827	-4963	-9391	-2145	-10238	-600	-11366	-2507	-7735	-13326	-9323	-11818	-17890	-9823	-20578	-7165	2613	-9332	-10119	-4802	-4027	-16180	-16433	-19642	-18011	-12906	-19815	-287	6208	-160	-2146	-9129	2663	-2194	-13743	5773	3608	5504	-15500	-16519	-7595	-21598	-7135	-6071	3732	-3903	227	-1662	355	-9079	-316	-4207	-233	-3223	-9163	-18535	-284	-313	-9861	-4323	2871	-12926	5316	-19501	3686	-3400	-15874	-14685	-15176	-6694	4904	-174	129	254	-916	2983	-20726	-23977	278	-3943	10299
-10948	-6970	-61	-9496	6626	-2632	-91	-3114	-12777	-935	-8656	-4162	1342	-6444	-6364	-3710	-3861	-427	-5818	-4257	3902	234	-127	-6703	2640	-2611	-4806	4316	3063	-8400	1004	-6623	-7051	-9853	-11198	-5119	-11515	-16502	1092	-9321	-801	-10858	3861	-13450	1572	-45	-1312	1541	-10589	-6860	-94	-4752	2515	4544	-7189	-2272	2876	-963	-4710	-8006	-14137	-12064	3871	-5179	165	-9883	-9230	-5034	-195	-7059	-100	-5071	-7251	-4045	-12420	1663	-5101	-9585	2813	4676	-11811	3870	-5574	-7985	-11820	-7811	6721	-9335	-8622	-2222	-5647	-993	-6794	122	-5791	-1227	-4542	-8352	-4677	-7158	-11613	-5458	-12120	-4045	1929	-6043	-5626	-2137	-1862	-9964	-10349	-11300	-10893	-7836	-11373	-146	4921	818	-740	-5649	2553	-1234	-8272	4826	2959	3301	-9762	-9627	-4455	-12618	-3680	-3294	2228	-1122	96	-1207	70	-4819	-90	-1958	-77	-2117	-5097	-11378	-75	-148	-4573	-1964	2582	-7130	3929	-11562	3014	-2232	-9729	-7850	-9304	-2646	3628	-128	804	168	428	1797	-11421	-14345	153	-1053	6576
-214	-61	-32	-70	-20	17	-20	-110	-205	-83	-102	45	82	-195	169	-217	-36	10	-166	-223	-92	60	-59	69	-120	-295	7	-130	-108	-193	88	-94	65	111	-80	-124	-128	-95	-25	-126	-120	-229	-171	-95	-157	80	-111	-196	-56	-270	-292	-78	-204	-51	40	-49	-88	-100	77	-184	-21	-35	-127	-80	44	-184	-231	-188	8	-65	8	120	84	-57	-221	-220	-162	37	-184	-105	45	11	-140	-164	-47	-89	-216	-67	76	-178	46	-71	24	-310	-337	-5	84	-67	-85	115	66	50	-205	-75	-169	87	-155	4	-12	-60	-94	-173	-196	-154	-72	-14	-159	-190	122	-127	-172	-161	-175	-14	-104	-108	255	-4	-102	-217	112	-1	164	-405	16	37	48	-250	-32	-30	-24	-33	102	-249	-30	-16	-345	32	-132	-339	-44	-43	-112	264	-187	-205	-132	-423	-60	0	107	8	-200	30	-283	45	0	-116	-144
-16515	-9496	-70	-21316	2893	-8806	89	-7522	-22867	-6953	-24258	-11662	-413	-14346	-16683	-1427	-7823	-7196	-16153	-9013	1334	318	-3824	-17068	4664	3788	-10174	9109	5207	-16464	826	-12399	-18790	-26842	-22550	-8613	-25311	-32657	-270	-17341	2479	-14176	8838	-30536	5954	-3731	2050	8347	-20816	-13309	11000	-11067	4766	9471	-18634	-1596	4747	-9701	-11833	-17065	-24661	-22332	3737	-11465	56	-15820	-17402	-11354	-215	-10000	-30	-18187	-21937	-13537	-25553	3481	-5210	-18886	11704	10317	-31696	6629	-9175	-16276	-22355	-10623	14400	-18043	-14975	-4016	-12520	-522	-10478	9135	-9171	-5277	-15274	-12547	-14690	-21560	-24251	-19251	-18976	-8555	8607	-11846	-12098	-11587	-4515	-21255	-14111	-22727	-16097	-9311	-25131	-322	7296	321	-12305	-4431	4756	4535	-9698	2316	4907	10763	-28490	-24486	-5533	-21294	-18548	-11807	-2981	2290	158	-3247	-26	-8298	-39	-8545	26	-1567	-20144	-14790	-229	-130	-5681	-12971	4685	-7388	6323	-24620	5116	-14132	-12657	-16213	-13362	941	5940	-254	-9937	158	-1163	4413	-21469	-36105	89	-8854	18549
8609	6626	-20	2893	-12932	-1032	200	1174	8629	-4723	-1088	-1622	-3456	318	-768	5043	1702	-4597	-2440	1484	-7198	-339	-2405	662	-2312	7907	1215	-2661	-3016	3204	-1961	4542	-226	-670	5249	3157	3265	7164	-3228	5034	3693	11307	-1328	2713	604	-2165	5794	2174	5531	2195	8302	807	-2361	-1312	87	3791	-2795	-5749	952	1182	10043	7297	-5591	1359	-151	7305	3707	897	351	6053	196	-3215	-2529	-2709	4969	-1623	6138	5102	3768	-1916	-213	-2074	2627	3757	7133	7469	-3152	4568	6092	1407	1304	1171	6279	6269	3888	-2436	-2674	7458	-2785	-2372	5634	-3591	9353	1722	3004	2848	2120	-4721	-1008	3200	9817	4447	10171	8988	2965	151	-4905	-1973	-8615	8032	-2284	6310	9870	-9778	-3025	1114	-1849	144	5007	9683	-8234	-2830	-6799	2492	-101	-197	-109	3083	49	-2860	205	3500	-5415	12091	-144	231	3716	-6147	-2335	8267	-3625	4079	-2802	-6564	9156	2794	9019	5149	-3379	62	-10089	-202	-3132	-493	5181	1305	-345	-5956	766
-4944	-2632	17	-8806	-1032	-4514	105	-3432	-7946	-3454	-11024	-4270	-538	-5338	-6387	563	-3118	-4342	-6972	-4113	-1639	206	-2623	-7182	1296	2700	-3575	3105	1559	-5748	199	-4965	-7747	-11410	-8550	-2817	-10047	-11617	-593	-6445	1518	-3600	3006	-11644	2605	-2765	953	4443	-7875	-4831	6059	-4822	1463	3190	-7605	-89	1290	-5803	-4924	-5888	-8182	-7825	240	-4733	-21	-5287	-5884	-4733	-89	-2749	-16	-8196	-9554	-6331	-9891	1101	-845	-6888	4975	3676	-13567	1327	-2823	-6644	-8054	-3001	4959	-6744	-4713	-1790	-4784	-121	-3268	4931	-3286	-2410	-6827	-3887	-6664	-9145	-8924	-8921	-6230	-3662	3717	-4207	-4732	-6174	-1810	-7577	-3752	-8431	-5213	-2505	-9880	-212	1795	-375	-6705	-613	1391	2638	-2805	-696	1428	5055	-12228	-10032	-1873	-7717	-8839	-5388	-2558	1760	55	-1264	-9	-3019	-36	-4154	30	-74	-9526	-4031	-72	-63	-1789	-6746	1350	-1660	1716	-9317	1477	-6990	-3044	-6551	-4131	1198	1720	-86	-5856	-4	-651	1760	-7676	-14864	57	-4716	7511
-192	-91	-20	89	200	105	-48	-114	-106	109	162	328	198	-14	511	-383	-9	173	35	-246	-79	92	-40	314	-206	-664	163	-298	-166	-32	168	-105	386	499	102	-87	100	236	48	-90	-288	-295	-369	293	-316	125	-360	-379	66	-176	-719	-14	-306	-211	332	-128	-138	50	249	52	130	130	-132	-8	68	-204	-86	-116	0	-63	-8	477	470	140	-52	-328	-233	208	-535	-270	465	-164	-80	-124	96	-133	-457	67	186	-223	226	-142	66	-663	-440	125	411	-77	115	544	340	408	-228	-59	-435	207	-79	217	58	211	-127	6	-287	-295	192	-30	-236	-220	489	-299	-270	-442	-365	131	-154	-284	759	343	-205	-259	599	217	380	-574	24	82	64	-261	-36	147	-44	-76	506	-379	-18	-32	-490	327	-214	-531	-88	227	-178	655	-231	-151	-181	-669	-110	4	489	4	-133	-10	-167	544	16	108	-520
-5607	-3114	-110	-7522	1174	-3432	-114	-4182	-8600	-2126	-9041	-2162	775	-4517	-2994	-1003	-2790	-2791	-5330	-4693	-1039	784	-2433	-5027	573	-944	-2382	2034	1039	-5393	1497	-5345	-5243	-7709	-7453	-3132	-8485	-9402	283	-6137	-253	-5757	1142	-9286	1042	-1561	-1698	2073	-7003	-5012	1695	-4138	136	1733	-5301	-1060	920	-4435	-3477	-4954	-7484	-6866	74	-4046	349	-5872	-5657	-4777	-89	-2946	-20	-5358	-6029	-4815	-9339	-381	-2318	-5545	1715	2392	-10099	879	-2385	-6787	-7350	-3612	2678	-5678	-3828	-2742	-2956	-554	-3119	942	-5286	-1264	-4109	-4315	-4891	-5592	-7296	-5970	-6854	-3711	1074	-2671	-5041	-4141	-474	-6283	-4360	-7632	-6808	-4105	-7732	-422	893	-1355	-3053	-2278	265	-52	-4765	1353	998	2982	-7219	-7288	-2847	-8683	-4290	-3677	-224	-1210	205	-723	353	-4407	-257	-2894	-227	-767	-5843	-6513	-168	-259	-3651	-4280	590	-4421	1698	-7409	873	-2571	-4272	-6465	-5200	-2153	1458	-82	-2193	50	-978	1804	-7566	-10969	127	-3081	4395
-21323	-12777	-205	-22867	8629	-7946	-106	-8600	-28378	-5572	-24215	-12381	977	-15768	-17231	-3606	-8585	-4957	-15755	-9508	5583	636	-2547	-17616	6074	579	-11425	11033	6836	-19377	2155	-14461	-19534	-27243	-25551	-10712	-27635	-37571	1322	-20002	976	-20693	9977	-33862	5928	-1661	56	6773	-23802	-15376	7628	-11310	5781	10624	-19614	-3395	6461	-6976	-12588	-19587	-30379	-26572	6442	-12121	301	-19600	-20681	-12290	-278	-13177	-38	-17898	-21477	-12761	-28900	3975	-8634	-21811	10921	11942	-32693	9289	-10782	-18240	-26520	-14234	16657	-20314	-18637	-4712	-13314	-741	-13494	6323	-11743	-4509	-14651	-16273	-13959	-21648	-28284	-18316	-23629	-9293	7829	-13284	-14060	-9481	-3701	-24734	-19224	-25932	-21236	-13388	-27165	-418	9795	877	-8828	-7672	5931	2294	-13897	7152	6557	9959	-28308	-25584	-7370	-25975	-15679	-11246	16	223	275	-3416	167	-10577	-125	-7700	-150	-3194	-18358	-21259	-311	-263	-7592	-10868	6053	-11690	8763	-27504	6697	-11372	-17935	-17858	-17738	-1610	7918	-308	-5930	332	-711	5138	-25060	-38112	144	-6710	19296
-2986	-935	-83	-6953	-4723	-3454	109	-2126	-5572	-5344	-9751	-6839	-2182	-6210	-8417	2090	-2236	-4622	-7662	-1904	-1436	-203	-2011	-6764	1435	6218	-4190	3252	1130	-5752	-716	-2310	-8335	-11640	-6745	-2258	-8749	-10970	-1573	-4550	3177	-883	3923	-12246	3138	-1637	4654	4152	-5844	-4473	9058	-3598	1360	3972	-8127	1231	1169	-5714	-4577	-7519	-6082	-6188	-444	-3676	-65	-2877	-6023	-3850	149	-1627	140	-9576	-10552	-6634	-7961	1124	553	-5701	7652	4049	-13290	3171	-2795	-4187	-6087	-902	5559	-5139	-4180	-349	-4784	657	-1525	7272	-1377	-3564	-7859	-1722	-7263	-10756	-8178	-9702	-3141	-2186	5794	-3932	-3938	-6530	-2266	-8375	-1610	-7484	-1455	813	-9005	47	1487	-375	-9350	2448	1472	5567	1431	-3379	1006	4784	-13265	-10407	768	-3490	-12139	-6437	-4634	2318	-2	-1705	-124	-1671	76	-4834	143	1046	-11022	-323	-198	126	133	-8273	1405	1327	1509	-8597	1273	-9465	-1464	-4757	-1021	3708	1319	-98	-9175	24	-2158	1673	-6435	-14739	-243	-6299	8904
