-2514	-3755	-5524	-3495	-5665	-192	-12837	-12874	-13048	-13486	-13212	-11054	-12549	-12605	-13046	-13743	-14600	-10962	-11724	-12638	-11009	-10779	-10145	-5607	-82334	-76275	-566278	-3951362	-27712649	-193942121	-1357640497	-1357637852	-9503457588	-66524187954	-465669333029	-3259685326128	-22817797301940	-22817797305757	-22817797306075	-22817797306389	-22817797304293	-22817797302919	-22817797306600	-22817797305495	-22817797303977	-22817797305760	-22817797304064	-67599	-3259685347023	-59171	-43071	-85449	-68166	-87276	-465669347388	-63567	-44828	-57526	-51884	-67655	-66524220147	-17339	-33740	-25823	-47607	-41503	-9503476381	-1357645114	-193992610	-27716857	-4008718	-118034	-610631	-118160	-118405	-118510	-118377	-118076	-153020	-118174	-118475	-118559	-118405	-118069	-601412	-600250	-2904818	-3851841	-2982924	-2875026
-3755	-7782	-9129	-6010	-9890	-386	-24244	-22781	-24253	-24529	-23990	-20150	-21763	-22468	-22859	-25489	-25662	-18643	-19150	-21117	-18715	-18438	-16642	-10214	-137824	-128928	-951464	-6643044	-46583715	-326014345	-2282170984	-2282168222	-15975161570	-111826109012	-782782790293	-5479479522198	-38356356687886	-38356356694994	-38356356695926	-38356356696898	-38356356692674	-38356356690664	-38356356696052	-38356356693497	-38356356690916	-38356356694149	-38356356691114	-108696	-5479479559813	-94171	-70777	-134470	-108850	-137921	-782782815038	-100709	-74487	-91231	-85288	-108773	-111826162084	-30884	-54859	-41104	-79100	-68649	-15975196300	-2282178906	-326093061	-46590796	-6732397	-185892	-1023554	-186627	-186984	-186865	-186417	-185920	-250012	-186669	-187005	-186914	-186417	-186340	-953876	-951727	-4504668	-5952765	-4607519	-4435676
-5524	-9129	-13066	-8302	-13292	-496	-31950	-31624	-32227	-33307	-32600	-27312	-30578	-30960	-31895	-33865	-35768	-26586	-28229	-30406	-26705	-26184	-24594	-13978	-198033	-183994	-1363995	-9518611	-66754894	-467175396	-3270334948	-3270328969	-22892284811	-160245958083	-1121721747544	-7852052220509	-54964365588835	-54964365598062	-54964365598898	-54964365599723	-54964365594595	-54964365591441	-54964365599972	-54964365597211	-54964365593528	-54964365597874	-54964365593697	-158949	-7852052270629	-139125	-101570	-200886	-160846	-204995	-1121721781740	-149688	-105714	-135737	-122906	-159061	-160246034473	-41580	-79842	-61208	-112532	-97685	-22892329922	-3270346037	-467294142	-66765055	-9653413	-277396	-1468621	-277809	-278397	-278572	-278166	-277473	-364707	-277851	-278488	-278642	-278180	-277620	-1414077	-1411151	-6811833	-9032611	-6991124	-6734413
-3495	-6010	-8302	-5480	-8465	-320	-20624	-20152	-20699	-21347	-20867	-17477	-19366	-19729	-20326	-21814	-22765	-16734	-17675	-19083	-16787	-16437	-15436	-8898	-124070	-115392	-854687	-5965003	-41832107	-292757582	-2049369237	-2049365635	-14345548134	-100418815109	-702931731089	-4920522109610	-34443654795564	-34443654801392	-34443654801953	-34443654802554	-34443654799259	-34443654797291	-34443654802617	-34443654800752	-34443654798483	-34443654801213	-34443654798553	-98805	-4920522141115	-86499	-63287	-124628	-99694	-127099	-702931752320	-92897	-65884	-84245	-76335	-98882	-100418862446	-25984	-49588	-38017	-70007	-60963	-14345576378	-2049376203	-292830986	-41838482	-6048455	-171962	-919912	-172291	-172648	-172697	-172424	-172004	-227591	-172326	-172690	-172760	-172438	-172158	-877548	-875679	-4216793	-5589920	-4327386	-4168185
-5665	-9890	-13292	-8465	-14372	-520	-33195	-32786	-33602	-34568	-33910	-28357	-31742	-32088	-32832	-35261	-37013	-27593	-29065	-31606	-27748	-27181	-25324	-14519	-205903	-191694	-1420580	-9913983	-69527474	-486579298	-3406166332	-3406161028	-23843106922	-166901711996	-1168312026898	-8178184174355	-57247289268185	-57247289278345	-57247289279373	-57247289280370	-57247289274747	-57247289271454	-57247289279955	-57247289276845	-57247289273014	-57247289277708	-57247289273377	-166670	-8178184228137	-145614	-106974	-209510	-168049	-214004	-1168312062568	-156135	-111524	-141519	-129010	-166789	-166901791938	-44121	-83426	-63735	-118293	-103138	-23843155448	-3406177978	-486702678	-69538070	-10054135	-289009	-1529997	-289674	-290325	-290395	-289912	-289156	-379869	-289737	-290353	-290465	-289919	-289317	-1477182	-1474116	-7072709	-9370858	-7255920	-6988576
-192	-386	-496	-320	-520	-36	-1332	-1334	-1373	-1411	-1410	-1206	-1312	-1306	-1308	-1407	-1510	-1154	-1171	-1274	-1130	-1125	-1053	-647	-8348	-7846	-57835	-403880	-2831862	-19818892	-138736343	-138736246	-971152821	-6798068483	-47586480936	-333105366108	-2331737564455	-2331737564885	-2331737564927	-2331737564958	-2331737564722	-2331737564655	-2331737564875	-2331737564777	-2331737564644	-2331737564840	-2331737564646	-6265	-333105368099	-5488	-4032	-7854	-6398	-8050	-47586482307	-5901	-4249	-5425	-4942	-6265	-6798071476	-1792	-3276	-2548	-4543	-3899	-971154779	-138736801	-19823468	-2832305	-409024	-10780	-61985	-10815	-10843	-10843	-10815	-10794	-14903	-10815	-10836	-10836	-10815	-10815	-55482	-55272	-259357	-345107	-266168	-256270
-12837	-24244	-31950	-20624	-33195	-1332	-84154	-81415	-84185	-86392	-84556	-71012	-77763	-79781	-81503	-88378	-91661	-67252	-70170	-76207	-67458	-66545	-61486	-36521	-497043	-463827	-3429559	-23938970	-167874637	-1174858533	-8224269469	-8224257065	-57569748895	-402988158281	-2820917207543	-19746420421772	-138224943065439	-138224943089389	-138224943091868	-138224943094515	-138224943080669	-138224943073326	-138224943093354	-138224943085843	-138224943076683	-138224943087917	-138224943077235	-389760	-19746420549443	-339493	-250733	-488943	-394849	-500304	-2820917294356	-365540	-262465	-332185	-305060	-389991	-402988348189	-106764	-197778	-150451	-280259	-241500	-57569866557	-8224297557	-1175147344	-167899907	-24265892	-675948	-3687404	-677740	-679098	-679140	-677775	-676095	-904491	-677789	-679210	-679196	-677796	-677068	-3452155	-3444553	-16498104	-21861448	-16907009	-16279221
-12874	-22781	-31624	-20152	-32786	-1334	-81415	-80584	-82057	-84774	-83175	-69893	-77477	-78677	-80454	-85984	-90743	-67337	-70749	-76510	-67433	-66469	-62168	-36123	-498752	-464853	-3441202	-24017520	-168429570	-1178738116	-8251431490	-8251418593	-57759882192	-404319088696	-2830233722296	-19811636025927	-138681452293159	-138681452316994	-138681452319153	-138681452321306	-138681452308033	-138681452300670	-138681452320586	-138681452313794	-138681452304743	-138681452315945	-138681452305319	-393813	-19811636151209	-344134	-251909	-496699	-399973	-507738	-2830233807737	-370713	-263046	-337295	-306663	-393995	-404319278874	-105420	-199668	-153195	-280840	-242368	-57759997358	-8251459412	-1179031854	-168455021	-24349864	-685790	-3700956	-687253	-688737	-689010	-687785	-686105	-911834	-687267	-688793	-689010	-687771	-686644	-3499678	-3491887	-16777208	-22259965	-17215611	-16580228
-13048	-24253	-32227	-20699	-33602	-1373	-84185	-82057	-84812	-86992	-85199	-71656	-78834	-80483	-82183	-88764	-92498	-68142	-71165	-77282	-68294	-67285	-62404	-36923	-503880	-470148	-3476720	-24268010	-170182366	-1191008701	-8337324570	-8337312198	-58361134842	-408527858508	-2859695110675	-20017865743058	-140125060315397	-140125060339757	-140125060342241	-140125060344717	-140125060330894	-140125060323574	-140125060343499	-140125060336092	-140125060326895	-140125060338262	-140125060327420	-395759	-20017865871850	-345163	-254415	-496762	-400505	-508095	-2859695197807	-371168	-266084	-337267	-308847	-395927	-408528050287	-107653	-200417	-152887	-283731	-245203	-58361253258	-8337352926	-1191301790	-170208066	-24599869	-686119	-3738161	-687820	-689283	-689381	-688044	-686322	-917294	-687862	-689332	-689423	-688044	-687148	-3505593	-3497669	-16745309	-22194011	-17167542	-16531473
-13486	-24529	-33307	-21347	-34568	-1411	-86392	-84774	-86992	-89686	-87789	-73742	-81489	-83050	-84843	-91107	-95614	-70601	-74002	-80109	-70767	-69637	-64959	-38077	-522066	-486828	-3602242	-25142479	-176316646	-1233937298	-8637835980	-8637822617	-60464707674	-423252863927	-2962770152921	-20739391038017	-145175737383666	-145175737408673	-145175737411091	-145175737413506	-145175737399457	-145175737391793	-145175737412615	-145175737405218	-145175737395646	-145175737407359	-145175737396172	-410767	-20739391170253	-358883	-263550	-517195	-416416	-528409	-2962770242544	-386232	-275079	-351029	-320131	-410977	-423253062484	-110537	-207893	-159229	-293293	-253603	-60464828697	-8637865271	-1234242632	-176343307	-25488351	-714000	-3873289	-715617	-717178	-717360	-716051	-714273	-952315	-715652	-717199	-717374	-716009	-714980	-3646104	-3637907	-17453996	-23143435	-17901562	-17237955
